path,size_bytes,sha256,kind,description
data/results/evaluations/all-chatgpt-version/GPT56_three_datasets_per_item_manual_judgments.xlsx,140851,38daf4c383e70b418b7f33085aa736dea89e2cf085ce4fbfbc480c7000424b28,evaluation_non_json,Historical evaluation log or report companion artifact.
data/results/evaluations/challenge_1190/ablation_850/adaptive_logs/inference_4B/gpu_2.log,63230,e565c35ecf36edc3d1ffc55b5e51ac9be9c2e884bb6424d431b4119d8703f026,evaluation_non_json,Historical evaluation log or report companion artifact.
data/results/evaluations/challenge_1190/ablation_850/adaptive_logs/inference_4B/gpu_3.log,117182,73613c28100993341f341c6bc22fc135e26e9126d42b96c977706df6cf77fb64,evaluation_non_json,Historical evaluation log or report companion artifact.
data/results/evaluations/challenge_1190/ablation_850/adaptive_logs/inference_4B/gpu_4.log,119592,b7a54cb18566e18f5f64bdfe5f5164f26ff9db428d47f238678b82ee2054e908,evaluation_non_json,Historical evaluation log or report companion artifact.
data/results/evaluations/challenge_1190/ablation_850/adaptive_logs/inference_4B/gpu_5.log,119442,0be81f2242c0be00a96d4c4c3984064d9ce88467c1d07f091e8efba8bd05a73d,evaluation_non_json,Historical evaluation log or report companion artifact.
data/results/evaluations/challenge_1190/ablation_850/adaptive_logs/inference_8B/gpu_2.log,99109,2b39562f7ce5dcd7b5adcf08dad6eeb14d12e8aabe79b9dce7b6302cca981d9c,evaluation_non_json,Historical evaluation log or report companion artifact.
data/results/evaluations/challenge_1190/ablation_850/adaptive_logs/inference_8B/gpu_3.log,93757,73f8dd21e6bfddef5687d4774772a422c6b05086428b7323b09d3a7434b8d1c5,evaluation_non_json,Historical evaluation log or report companion artifact.
data/results/evaluations/challenge_1190/ablation_850/adaptive_logs/inference_8B/gpu_4.log,115525,e6e4cd38eb480d891d6baab494bfeeb93738fae65faf2c630568905bc94ac169,evaluation_non_json,Historical evaluation log or report companion artifact.
data/results/evaluations/challenge_1190/ablation_850/adaptive_logs/inference_8B/gpu_5.log,111881,6474e82899e9fdb92a9b8efd0ec381a70865e83ca992c3c57fec5ba720794dd2,evaluation_non_json,Historical evaluation log or report companion artifact.
data/results/evaluations/challenge_1190/ablation_850/adaptive_logs/judge_4B/gpu_2.log,100243,6987f1e9ed47a81a33e59eded4775ace8c639bbe999ed70fdb25d9e809851b3b,evaluation_non_json,Historical evaluation log or report companion artifact.
